family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
halichoerine,Halichoeres_miniatusF275,Halichoeres_miniatus,Halichoeres_miniatus,Halichoeres miniatus,,
halichoerine,Halichoeres_chrysusF58,Halichoeres_chrysus,Halichoeres_chrysus,Halichoeres chrysus,,
halichoerine,Halichoeres_iridisF66,Halichoeres_iridis,Halichoeres_iridis,Halichoeres iridis,,
halichoerine,Halichoeres_leucoxanthusF68,Halichoeres_leucoxanthus,Halichoeres_leucoxanthus,Halichoeres leucoxanthus,,
halichoerine,Halichoeres_cosmetusF59,Halichoeres_cosmetus,Halichoeres_cosmetus,Halichoeres cosmetus,,
halichoerine,Halichoeres_ornatissimusF162,Halichoeres_ornatissimus,Halichoeres_ornatissimus,Halichoeres ornatissimus,,
halichoerine,Halichoeres_melasmapomusF238,Halichoeres_melasmapomus,Halichoeres_melasmapomus,Halichoeres melasmapomus,,
halichoerine,Halichoeres_lapillusF67,Halichoeres_lapillus,Halichoeres_lapillus,Halichoeres lapillus,,
halichoerine,Macropharyngodon_bipartitusF85,Macropharyngodon_bipartitus,Macropharyngodon_bipartitus,Macropharyngodon bipartitus,,
halichoerine,Macropharyngodon_marisrubriF431,Macropharyngodon_marisrubri,Macropharyngodon_marisrubri,Macropharyngodon marisrubri,,
halichoerine,Macropharyngodon_choatiF242,Macropharyngodon_choati,Macropharyngodon_choati,Macropharyngodon choati,,
halichoerine,Macropharyngodon_cyanoguttatusF247,Macropharyngodon_cyanoguttatus,Macropharyngodon_cyanoguttatus,Macropharyngodon cyanoguttatus,,
halichoerine,Macropharyngodon_ornatusF90,Macropharyngodon_ornatus,Macropharyngodon_ornatus,Macropharyngodon ornatus,,
halichoerine,Macropharyngodon_geoffroyF86,Macropharyngodon_geoffroy,Macropharyngodon_geoffroy,Macropharyngodon geoffroy,,
halichoerine,Macropharyngodon_meleagrisF88,Macropharyngodon_meleagris,Macropharyngodon_meleagris,Macropharyngodon meleagris,,
halichoerine,Macropharyngodon_negrosensisF89,Macropharyngodon_negrosensis,Macropharyngodon_negrosensis,Macropharyngodon negrosensis,,
halichoerine,Macropharyngodon_kuiteriF87,Macropharyngodon_kuiteri,Macropharyngodon_kuiteri,Macropharyngodon kuiteri,,
halichoerine,Halichoeres_hortulanusF65,Halichoeres_hortulanus,Halichoeres_hortulanus,Halichoeres hortulanus,,
halichoerine,Halichoeres_scapularisF80,Halichoeres_scapularis,Halichoeres_scapularis,Halichoeres scapularis,,
halichoerine,Halichoeres_trimaculatusF241,Halichoeres_trimaculatus,Halichoeres_trimaculatus,Halichoeres trimaculatus,,
halichoerine,Thalassoma_duperreyF254,Thalassoma_duperrey,Thalassoma_duperrey,Thalassoma duperrey,,
halichoerine,Thalassoma_rueppelliiF403,Thalassoma_rueppellii,Thalassoma_rueppellii,Thalassoma rueppellii,,
halichoerine,Thalassoma_genivittatumF222,Thalassoma_genivittatum,Thalassoma_genivittatum,Thalassoma genivittatum,,
halichoerine,Thalassoma_hebraicumF405,Thalassoma_hebraicum,Thalassoma_hebraicum,Thalassoma hebraicum,,
halichoerine,Thalassoma_janseniiF106,Thalassoma_jansenii,Thalassoma_jansenii,Thalassoma jansenii,,
halichoerine,Thalassoma_hardwickeF103,Thalassoma_hardwicke,Thalassoma_hardwicke,Thalassoma hardwicke,,
halichoerine,Thalassoma_quinquevittatumF110,Thalassoma_quinquevittatum,Thalassoma_quinquevittatum,Thalassoma quinquevittatum,,
halichoerine,Thalassoma_amblycephalumF101,Thalassoma_amblycephalum,Thalassoma_amblycephalum,Thalassoma amblycephalum,,
halichoerine,Thalassoma_lucasanumF107,Thalassoma_lucasanum,Thalassoma_lucasanum,Thalassoma lucasanum,,
halichoerine,Thalassoma_lunareF108,Thalassoma_lunare,Thalassoma_lunare,Thalassoma lunare,,
halichoerine,Thalassoma_cupidoF407,Thalassoma_cupido,Thalassoma_cupido,Thalassoma cupido,,
halichoerine,Thalassoma_trilobatumF111,Thalassoma_trilobatum,Thalassoma_trilobatum,Thalassoma trilobatum,,
halichoerine,Thalassoma_purpureumF341,Thalassoma_purpureum,Thalassoma_purpureum,Thalassoma purpureum,,
halichoerine,Thalassoma_newtoniF404,Thalassoma_newtoni,Thalassoma_newtoni,Thalassoma newtoni,,
halichoerine,Thalassoma_bifasciatumF102,Thalassoma_bifasciatum,Thalassoma_bifasciatum,Thalassoma bifasciatum,,
halichoerine,Thalassoma_ballieui,Thalassoma_ballieui,Thalassoma_ballieui,Thalassoma ballieui,,
halichoerine,Hemigymnus_fasciatusF223,Hemigymnus_fasciatus,Hemigymnus_fasciatus,Hemigymnus fasciatus,,
halichoerine,Hemigymnus_melapterusF163,Hemigymnus_melapterus,Hemigymnus_melapterus,Hemigymnus melapterus,,
halichoerine,Stethojulis_albovittataF95,Stethojulis_albovittata,Stethojulis_albovittata,Stethojulis albovittata,,
halichoerine,Stethojulis_bandanensisF97,Stethojulis_bandanensis,Stethojulis_bandanensis,Stethojulis bandanensis,,
halichoerine,Stethojulis_balteataF96,Stethojulis_balteata,Stethojulis_balteata,Stethojulis balteata,,
halichoerine,Stethojulis_trilineataF243,Stethojulis_trilineata,Stethojulis_trilineata,Stethojulis trilineata,,
halichoerine,Stethojulis_interruptaF98,Stethojulis_interrupta,Stethojulis_interrupta,Stethojulis interrupta,,
halichoerine,Stethojulis_strigiventerF100,Stethojulis_strigiventer,Stethojulis_strigiventer,Stethojulis strigiventer,,
halichoerine,Halichoeres_adustusF382,Halichoeres_adustus,Halichoeres_adustus,Halichoeres adustus,,
halichoerine,Halichoeres_notospilusF76,Halichoeres_notospilus,Halichoeres_notospilus,Halichoeres notospilus,,
halichoerine,Halichoeres_aestuaricolaF383,Halichoeres_aestuaricola,Halichoeres_aestuaricola,Halichoeres aestuaricola,,
halichoerine,Halichoeres_chierchiaeF57,Halichoeres_chierchiae,Halichoeres_chierchiae,Halichoeres chierchiae,,
halichoerine,Halichoeres_discolorF387,Halichoeres_discolor,Halichoeres_discolor,Halichoeres discolor,,
halichoerine,Halichoeres_bivittatumF194,Halichoeres_bivittatus,Halichoeres_bivittatus,Halichoeres bivittatus,,CF-prefix tip aliased to named species
halichoerine,Halichoeres_garnotiF63,Halichoeres_garnoti,Halichoeres_garnoti,Halichoeres garnoti,,
halichoerine,Halichoeres_brasiliensisF384,Halichoeres_brasiliensis,Halichoeres_brasiliensis,Halichoeres brasiliensis,,
halichoerine,Halichoeres_radiatusF79,Halichoeres_radiatus,Halichoeres_radiatus,Halichoeres radiatus,,
halichoerine,Halichoeres_nicholsiF74,Halichoeres_nicholsi,Halichoeres_nicholsi,Halichoeres nicholsi,,
halichoerine,Halichoeres_poeyiF154,Halichoeres_poeyi,Halichoeres_poeyi,Halichoeres poeyi,,
halichoerine,Halichoeres_cyanocephalusF60,Halichoeres_cyanocephalus,Halichoeres_cyanocephalus,Halichoeres cyanocephalus,,
halichoerine,Halichoeres_dimidiatusF386,Halichoeres_dimidiatus,Halichoeres_dimidiatus,Halichoeres dimidiatus,,
halichoerine,Halichoeres_rubrovirensF432,Halichoeres_rubrovirens,Halichoeres_rubrovirens,Halichoeres rubrovirens,,
halichoerine,Halichoeres_bathyphilusF399,Halichoeres_bathyphilus,Halichoeres_bathyphilus,Halichoeres bathyphilus,,
halichoerine,Halichoeres_dispilusF61,Halichoeres_dispilus,Halichoeres_dispilus,Halichoeres dispilus,,
halichoerine,Halichoeres_caudalisF400,Halichoeres_caudalis,Halichoeres_caudalis,Halichoeres caudalis,,
halichoerine,Halichoeres_burekaeF385,Halichoeres_burekae,Halichoeres_burekae,Halichoeres burekae,,
halichoerine,Halichoeres_socialisF197,Halichoeres_socialis,Halichoeres_socialis,Halichoeres socialis,,
halichoerine,Halichoeres_pictusF78,Halichoeres_pictus,Halichoeres_pictus,Halichoeres pictus,,
halichoerine,Halichoeres_semicinctusF240,Halichoeres_semicinctus,Halichoeres_semicinctus,Halichoeres semicinctus,,
halichoerine,Halichoeres_maculipinnaF69,Halichoeres_maculipinna,Halichoeres_maculipinna,Halichoeres maculipinna,,
halichoerine,Halichoeres_penroseiF551M2615,Halichoeres_penrosei,Halichoeres_penrosei,Halichoeres penrosei,,
halichoerine,Halichoeres_malpeloF558UVTP1431,Halichoeres_malpelo,Halichoeres_malpelo,Halichoeres malpelo,,
halichoerine,Halichoeres_melanotisF72,Halichoeres_melanotis,Halichoeres_melanotis,Halichoeres melanotis,,
halichoerine,Halichoeres_salmofasciatusF388,Halichoeres_salmofasciatus,Halichoeres_salmofasciatus,Halichoeres salmofasciatus,,
